outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
death,APR 2021,202114,all_ages_adj,all_types,135,34895196,2239,117748766,0.386872737,1.901506127,4.915068815,0.136339537,2.86691916,21.027789979,0
death,APR 2021,202115,all_ages_adj,all_types,167,41447586,2142,109996865,0.40291852,1.947328226,4.833057133,0.161498297,2.989103577,18.508576472,1
death,APR 2021,202116,all_ages_adj,all_types,180,49101949,1960,103916903,0.366584227,1.886122415,5.145127034,0.15480043,2.926206106,18.903087706,1
death,APR 2021,202117,all_ages_adj,all_types,191,56623865,1673,99010711,0.337313604,1.689716176,5.009333018,0.151870533,2.593036927,17.073996306,1
death,MAY 2021,202118,all_ages_adj,all_types,153,63637610,1519,95402556,0.240423863,1.592200528,6.622472955,0.118548074,2.489317091,20.998376581,1
death,MAY 2021,202119,all_ages_adj,all_types,133,70602769,1247,92351786,0.188377881,1.350271667,7.167888614,0.090664225,2.083059456,22.975539213,1
death,MAY 2021,202120,all_ages_adj,all_types,148,77516674,1047,88317715,0.190926664,1.185492627,6.209151725,0.099930246,1.839351628,18.406355452,1
death,MAY 2021,202121,all_ages_adj,all_types,118,83333722,887,85357268,0.14159934,1.039161656,7.33874649,0.077042052,1.624666142,21.088043587,1
death,JUN 2021,202122,all_ages_adj,all_types,111,88136520,700,83334921,0.125940983,0.839983997,6.669663632,0.071822266,1.265177545,17.615394332,1
death,JUN 2021,202123,all_ages_adj,all_types,98,91618419,667,81497622.4,0.106965391,0.818428784,7.651341965,0.0609807,1.215339304,19.929895223,1
death,JUN 2021,202124,all_ages_adj,all_types,122,94236838,666,79951595.4,0.12946105,0.833004015,6.434398725,0.078044888,1.240350432,15.892782575,1
death,JUN 2021,202125,all_ages_adj,all_types,144,97496516,741,78487779.4,0.147697585,0.944096018,6.39208837,0.08958004,1.398661405,15.613538455,1
death,JUN 2021,202126,all_ages_adj,all_types,155,100208336,937,77139554.4,0.154677751,1.214681634,7.85298228,0.099716831,1.758633456,17.63627494,1
death,JUL 2021,202127,all_ages_adj,all_types,269,102025289,1398,76043275.3,0.263660121,1.838426862,6.972714941,0.167796098,2.642260533,15.746853293,1
death,JUL 2021,202128,all_ages_adj,all_types,473,103474270,2104,74855403.3,0.45711847,2.81075234,6.148848764,0.290377027,4.046495891,13.935316919,1
death,JUL 2021,202129,all_ages_adj,all_types,777,104652994,3582,73465871.3,0.742453675,4.875733367,6.567053987,0.47406193,6.99028556,14.74551133,1
death,JUL 2021,202130,all_ages_adj,all_types,1203,105838224,5318,71637109.3,1.136640388,7.423526789,6.531112978,0.737216419,10.612560965,14.395448465,1
death,AUG 2021,202131,all_ages_adj,all_types,1604,106933247,6954,69575022.45,1.500001211,9.994966232,6.663305442,0.972195307,14.27035037,14.678481025,1
death,AUG 2021,202132,all_ages_adj,all_types,1916,107955736,8044,67474654.45,1.77480148,11.921513442,6.717096857,1.156314349,17.031142396,14.728816956,1
death,AUG 2021,202133,all_ages_adj,all_types,2040,109011513,8474,65510149.45,1.871361973,12.935400195,6.912291895,1.223862629,18.541818275,15.150244672,1
death,AUG 2021,202134,all_ages_adj,all_types,1951,110235589,8089,63629002.45,1.769845853,12.712756272,7.182973734,1.160150528,18.248109463,15.72908776,1
death,SEP 2021,202135,all_ages_adj,all_types,1856,111796817.1,7710,61848656.45,1.660154598,12.465913477,7.508887118,1.105206688,17.899759874,16.195848316,1
death,SEP 2021,202136,all_ages_adj,all_types,1740,113641271.1,6767,60492242.45,1.531133877,11.186558352,7.306061554,1.029687136,16.098517903,15.634378004,1
death,SEP 2021,202137,all_ages_adj,all_types,1598,115553237.1,5814,59008182.25,1.382912362,9.85287087,7.12472543,0.942110934,14.189389542,15.061272536,1
death,SEP 2021,202138,all_ages_adj,all_types,1364,117132395.1,4712,57833192.25,1.164494245,8.147570308,6.996660003,0.806851525,11.693012583,14.492149068,1
death,SEP 2021,202139,all_ages_adj,all_types,1182,118836926.1,3909,56685579.25,0.994640335,6.895933766,6.93309282,0.690010115,10.035007543,14.543276,1
death,OCT 2021,202140,all_ages_adj,all_types,1035,120372510.1,3403,55670672.25,0.859830869,6.112733801,7.109228128,0.595434993,9.051927768,15.202209941,1
death,OCT 2021,202141,all_ages_adj,all_types,986,121650094.1,3082,54782504.95,0.810521362,5.62588367,6.941067727,0.571893389,8.447570005,14.771232145,1
death,OCT 2021,202142,all_ages_adj,all_types,939,122800530.1,2770,53994530.25,0.76465468,5.130149271,6.709105963,0.536751566,7.731571655,14.404376532,1
death,OCT 2021,202143,all_ages_adj,all_types,905,123774188.1,2572,53098953.8,0.731170217,4.843786583,6.624704438,0.519188536,7.472308094,14.39228253,1
death,NOV 2021,202144,all_ages_adj,all_types,980,124628864.1,2687,52226888.85,0.786334696,5.144859399,6.54283656,0.560953302,7.975354338,14.217501357,1
death,NOV 2021,202145,all_ages_adj,all_types,1039,125457531.1,2821,51393850.699999996,0.828168697,5.488983529,6.627856803,0.591289583,8.582085707,14.514183844,1
death,NOV 2021,202146,all_ages_adj,all_types,1144,126235477.1,3250,50503997.699999996,0.906242862,6.435134144,7.100893609,0.651724895,10.257591281,15.739142938,1
death,NOV 2021,202147,all_ages_adj,all_types,1152,126919488.1,3170,49657101.7,0.907662028,6.383779744,7.033212303,0.640671334,10.135458559,15.820059388,1
death,DEC 2021,202148,all_ages_adj,all_types,1308,127575684.1,3958,48822398,1.02527375,8.106934854,7.907092966,0.729365447,13.146349463,18.024365585,1
death,DEC 2021,202149,all_ages_adj,all_types,1242,128232965.1,4024,63957158,0.968549701,6.291711711,6.496013271,0.614308322,12.200125419,19.859938363,1
death,DEC 2021,202150,all_ages_adj,all_types,1130,129560613.1,3643,62723393.25,0.872178645,5.808040368,6.659232486,0.560749363,11.250997945,20.064218844,1
death,DEC 2021,202151,all_ages_adj,all_types,1444,131118460.1,3749,61432332.25,1.101294203,6.102649635,5.541343648,0.713690007,11.866422943,16.626858763,1
death,DEC 2021,202152,all_ages_adj,all_types,3512,132309125.1,5531,60389552.35,2.65438986,9.158869018,3.450461124,1.745692713,17.999500895,10.310807143,1
death,JAN 2022,202201,all_ages_adj,all_types,5387,133111569.7,7570,59328003.75,4.046981049,12.759573088,3.15286208,2.66903839,25.315668398,9.48493978,1
death,JAN 2022,202202,all_ages_adj,all_types,5500,133806048.7,7523,58228449.7,4.110427035,12.919801298,3.143177385,2.712907963,25.686947703,9.46841841,1
death,JAN 2022,202203,all_ages_adj,all_types,5061,134567005.7,6848,57334573.15,3.760951634,11.943927763,3.175772763,2.498551904,23.941037635,9.581965295,1
death,JAN 2022,202204,all_ages_adj,all_types,3935,135355455.7,5752,56606096.05,2.907160247,10.16144974,3.495318069,1.941106927,20.192545321,10.402592993,1
death,FEB 2022,202205,all_ages_adj,all_types,2746,136013276.7,4076,56064233.7,2.018920554,7.270232251,3.601049202,1.340491934,14.478874037,10.801164609,1
death,FEB 2022,202206,all_ages_adj,all_types,1888,136687648.7,2945,55566451.7,1.381251355,5.299960516,3.837071722,0.924404517,10.593754071,11.460084711,1
death,FEB 2022,202207,all_ages_adj,all_types,1251,137336644.7,1849,55199032.7,0.910900367,3.34969638,3.677346615,0.609534053,6.63310637,10.882257251,1
death,FEB 2022,202208,all_ages_adj,all_types,811,137934885.7,1266,54866096.35,0.587958583,2.307435893,3.924487128,0.392005023,4.564507842,11.64400347,1
death,MAR 2022,202209,all_ages_adj,all_types,618,138419957.7,857,54584140.35,0.44646741,1.570053123,3.516613055,0.300844935,3.10754001,10.329374523,1
death,MAR 2022,202210,all_ages_adj,all_types,404,138814131.7,570,54362626.7,0.291036651,1.048514457,3.60268871,0.196106684,2.032114232,10.362289495,1
death,MAR 2022,202211,all_ages_adj,all_types,313,139140112.7,393,54156073.15,0.224953102,0.725680385,3.225918547,0.151828204,1.40676614,9.265512648,1
death,MAR 2022,202212,all_ages_adj,all_types,230,139398705.7,304,53954494.15,0.164994358,0.563437772,3.41489114,0.113397307,1.106836845,9.760697767,1
death,MAR 2022,202213,all_ages_adj,all_types,227,139624403.7,217,53778468.15,0.162579029,0.403507217,2.481914296,0.112346999,0.775149015,6.899597004,1
death,APR 2022,202214,all_ages_adj,all_types,236,139820234.7,208,53610399.15,0.168788159,0.387984427,2.298647189,0.115515815,0.745727756,6.455633429,1
death,APR 2022,202215,all_ages_adj,all_types,265,140005668.7,214,53444408.6,0.18927805,0.400416069,2.115491302,0.1297092,0.755108811,5.821551697,1
death,APR 2022,202216,all_ages_adj,all_types,350,140236785.7,190,53288589.6,0.249577882,0.356549125,1.428608664,0.172849076,0.691226728,3.999018942,1
death,APR 2022,202217,all_ages_adj,all_types,433,140457987.55,263,53141908.6,0.308277235,0.494901307,1.605377403,0.212918533,0.984274486,4.622775058,1
death,MAY 2022,202218,all_ages_adj,all_types,519,140650519.55,305,53003077.6,0.368999703,0.575438284,1.559454596,0.253752705,1.129630152,4.451696988,1
death,MAY 2022,202219,all_ages_adj,all_types,647,140830437.55,381,52862547.6,0.45941773,0.720737114,1.568805613,0.315909755,1.403313426,4.442133883,1
death,MAY 2022,202220,all_ages_adj,all_types,711,140998240.55,414,52714050.6,0.504261612,0.785369357,1.557464099,0.3484818,1.558552014,4.472405776,1
death,MAY 2022,202221,all_ages_adj,all_types,787,141155233.55,474,52569621.6,0.557542204,0.901661426,1.617207487,0.386073572,1.798064359,4.657310135,1
death,JUN 2022,202222,all_ages_adj,all_types,830,141314979.55,503,52454361.6,0.587340424,0.958928838,1.63266276,0.40640302,1.94655454,4.789714749,1
death,JUN 2022,202223,all_ages_adj,all_types,936,141478770.55,503,52319741.6,0.661583357,0.961396185,1.453174683,0.454496099,1.897443818,4.174829709,1
death,JUN 2022,202224,all_ages_adj,all_types,946,141606612.55,549,52195290.4,0.668047899,1.051819035,1.574466497,0.460191335,2.119305203,4.605269684,1
death,JUN 2022,202225,all_ages_adj,all_types,976,141741967.55,573,52077334.85,0.688575174,1.100286721,1.597918081,0.467164041,2.208191214,4.726800478,1
death,JUN 2022,202226,all_ages_adj,all_types,1071,141867546.55,681,51962750.85,0.754929528,1.310554174,1.73599538,0.514808623,2.655112242,5.157474303,1
death,JUL 2022,202227,all_ages_adj,all_types,1145,141981639.55,693,51864478.85,0.8064423,1.336174614,1.656875654,0.557181432,2.716190553,4.874876289,1
death,JUL 2022,202228,all_ages_adj,all_types,1253,142090549.55,735,51732255.85,0.881832046,1.420777014,1.611165098,0.605228808,2.853206018,4.714260095,1
death,JUL 2022,202229,all_ages_adj,all_types,1241,142185119.55,759,51598636.85,0.872805821,1.470969092,1.685333733,0.601886754,2.970626491,4.935523949,1
death,JUL 2022,202230,all_ages_adj,all_types,1125,142302099.55,705,51471000.85,0.79057161,1.369703305,1.732548054,0.539600891,2.794231815,5.178330613,1
death,AUG 2022,202231,all_ages_adj,all_types,1063,142440761.55,681,51350728.85,0.746275145,1.326173971,1.777057671,0.510109301,2.719394697,5.331003948,1
death,AUG 2022,202232,all_ages_adj,all_types,929,142556401.55,655,51235199.85,0.651671893,1.278417966,1.961750968,0.44334492,2.631461225,5.935471694,1
death,AUG 2022,202233,all_ages_adj,all_types,806,142662215.55,539,51135365.85,0.564970898,1.054065012,1.86569789,0.388958871,2.190948948,5.632855075,1
death,AUG 2022,202234,all_ages_adj,all_types,644,142761724.55,446,51042174.85,0.451101303,0.873787219,1.937008855,0.310232133,1.817421098,5.858261945,1
death,AUG 2022,202235,all_ages_adj,all_types,603,142852504.55,398,50965568.85,0.422113705,0.780919372,1.850021361,0.28725763,1.60523929,5.588151965,1
